[170, 150, 148]
[190, 151, 147]
[205, 182, 146]
[210, 222, 144]
[210, 255, 143]
[211, 269, 142]
[211, 275, 141]
[211, 277, 140]
[211, 277, 139]
[210, 276, 138]
[209, 275, 136]
[207, 274, 135]
[204, 273, 134]
[201, 273, 133]
[197, 272, 132]
[195, 272, 131]
[194, 272, 129]
[192, 272, 128]
[192, 272, 127]
[192, 272, 126]
[191, 271, 124]
[191, 271, 123]
[191, 271, 122]
[190, 271, 120]
[190, 271, 119]
[189, 272, 118]
[189, 272, 117]
[188, 272, 115]
[188, 272, 114]
[188, 272, 113]
[187, 272, 111]
[187, 272, 110]
[186, 272, 109]
[186, 272, 108]
[186, 272, 106]
[185, 273, 105]
[184, 273, 104]
[184, 273, 103]
[184, 273, 102]
[182, 274, 101]
[183, 274, 99]
[183, 275, 98]
[183, 276, 97]
[183, 276, 95]
[183, 278, 94]
[184, 279, 93]
[185, 281, 91]
[187, 282, 90]
[190, 284, 89]
[194, 285, 88]
[196, 286, 86]
[197, 287, 85]
[198, 288, 84]
[200, 289, 83]
[200, 290, 81]
[201, 290, 80]
[201, 290, 79]
[202, 291, 77]
[203, 291, 76]
[203, 291, 75]
[204, 291, 75]
[205, 291, 75]
[204, 291, 75]
[205, 291, 75]
[205, 291, 75]
[205, 291, 75]
[206, 291, 75]
[206, 290, 75]
[207, 290, 75]
[207, 290, 75]
[207, 291, 75]
[207, 291, 75]
[208, 291, 75]
[208, 291, 75]
[208, 291, 75]
[209, 291, 75]
[209, 291, 75]
[209, 291, 75]
[210, 290, 75]
[210, 290, 75]
[210, 290, 75]
[210, 290, 75]
[211, 290, 75]
[212, 289, 75]
[213, 289, 75]
[214, 288, 75]
[214, 288, 75]
[215, 287, 75]
[215, 287, 75]
[216, 285, 75]
[216, 284, 75]
[216, 282, 75]
[214, 281, 75]
[212, 280, 75]
[210, 278, 75]
[206, 277, 75]
[201, 275, 75]
[200, 275, 75]
[199, 274, 75]
[198, 274, 75]
[196, 273, 75]
[196, 273, 75]
[195, 272, 75]
[194, 272, 75]
[193, 272, 75]
[193, 272, 75]
[193, 272, 75]
[192, 271, 75]
[192, 271, 75]
[192, 271, 75]
[191, 271, 75]
[191, 272, 75]
[190, 272, 75]
[190, 272, 75]
[189, 272, 75]
[188, 272, 75]
[189, 272, 75]
[189, 272, 75]
[189, 272, 75]
[189, 272, 75]
[188, 272, 75]
[187, 272, 75]
[185, 273, 75]
[186, 272, 75]
[186, 272, 75]
[186, 273, 75]
[185, 273, 75]
[185, 273, 75]
[183, 273, 75]
[183, 274, 75]
[182, 275, 75]
[181, 275, 75]
[181, 276, 75]
[181, 278, 75]
[181, 279, 75]
[182, 280, 75]
[184, 281, 75]
[186, 283, 75]
[190, 284, 75]
[194, 286, 75]
[196, 287, 75]
[198, 288, 75]
[199, 289, 75]
[199, 289, 75]
[201, 289, 75]
[201, 290, 75]
[202, 290, 75]
[203, 290, 75]
[203, 291, 75]
[204, 291, 75]
[205, 291, 75]
[205, 291, 75]
[205, 290, 75]
[205, 290, 75]
[205, 291, 75]
[205, 290, 75]
[206, 290, 75]
[206, 290, 75]
[207, 291, 75]
[207, 291, 75]
[207, 291, 75]
[208, 291, 75]
[208, 291, 75]
[208, 291, 75]
[209, 290, 75]
[209, 290, 75]
[209, 290, 75]
[209, 290, 75]
[210, 290, 75]
[211, 290, 75]
[211, 290, 75]
[211, 289, 75]
[211, 289, 75]
[212, 288, 75]
[213, 288, 75]
[214, 288, 75]
[214, 287, 75]
[215, 287, 75]
[216, 286, 75]
[216, 284, 75]
[216, 282, 75]
[215, 281, 75]
[212, 280, 75]
[210, 278, 75]
[206, 277, 75]
[202, 276, 75]
[200, 276, 75]
[199, 275, 75]
[197, 274, 75]
[197, 273, 75]
[196, 273, 75]
[195, 273, 75]
[195, 273, 75]
[194, 272, 75]
